PLMN1_Regi,June_2019_,Resp_Area_,Avg_3GAvai,avg_3G_CAL,avg_3G_CS_,avg_3G_PS_,TOT_3G_CS_,TOT_3G_Dat,TOT_3G_D_1,avg_3G_DL(,min_3G_DL(,max_3G_DL(,count_3G,count_Cell,SUM_3G_Tot,SUM_3G_T_1,Avg_4GAvai,avg_4G_RAB,avg_4G_R_1,avg_4G_CSF,TOT_4G_Dat,TOT_4G_D_1,avg_4G_DL(,avg_4G_UL(,min_4G_DL(,min_4G_UL(,max_4G_DL(,max_4G_UL(,avg_4G_RRC,count_4G,count_4GCe,SUM_4G_Tot,SUM_4G_T_1,class,fill
CCREGION_37,5.01,Nikesh,96.29,99.86,0.09,0.29,114884.1455,8130894454250,2882911585921,1750.44,0,36803.28,13338,13888,11013806040171,11.013806040171,96.5,99.61,0.22,99.75,98151761629221,13739271164563,15830.72,2393.16,107.44,11.69,159284.6,37714.02,7.46,18891,19287,111891032793784,111.891032793784,2,"rgb(254, 225, 185)"
CCREGION_30,5.63,Gibson,97.11,99.89,0.06,0.22,95164.1535,6964118966069,2483544554557,2022.21,0,104543.87,13085,13657,9447663520626,9.447663520626,97.39,99.57,0.28,99.68,129321167176042,17759999399348,13345.5,3036.18,0,0,103910.64,60502.14,8.55,19101,20140,147081166575390,147.08116657539,3,"rgb(254, 231, 197)"
CCREGION_51,7.56,Nikesh,96.8,99.87,0.11,0.42,51321.474,3118621557948,1022745942095,2459.52,0,29881.71,9920,10178,4141367500043,4.141367500043,97.13,99.72,0.2,98.75,39256838687270,5747549944847,22038.08,2395.47,0,14.65,178217.55,48951.62,3.91,16276,16589,45004388632117,45.004388632117,3,"rgb(254, 229, 193)"
CCREGION_50,5.88,Gibson,97.08,99.84,0.11,0.38,55718.785,3680780274509,1344087947083,2485.32,0,76189.32,9859,10212,5024868221592,5.024868221592,97.33,99.65,0.24,99.3,50853888639770,7286887278926,19995.36,2432.99,0,0,138542.33,46762.43,5.48,13736,14085,58140775918696,58.140775918696,3,"rgb(254, 231, 197)"
CCREGION_49,7.48,Warren,96.25,99.84,0.11,0.37,48051.571,2541061018404,898651470320,2979.81,0,35360.87,9655,9934,3439712488724,3.439712488724,96.64,99.74,0.19,99.12,36785335358275,5311361925869,22155.41,2640.19,0,4.57,174195.23,55867.11,4.18,13692,14035,42096697284144,42.096697284144,2,"rgb(254, 225, 184)"
CCREGION_29,5.54,Nikesh,95.94,99.84,0.08,0.3,108502.127,7240209582252,2537512634722,1672.17,0,20797.87,13851,14133,9777722216974,9.777722216974,96.6,99.64,0.22,99.69,87196875433091,12095793001259,15793.38,2449.59,51.16,16,121198.87,27162.31,7.08,17664,18007,99292668434350,99.29266843435,2,"rgb(254, 223, 180)"
CCREGION_36,6.07,Nikesh,97.08,99.82,0.09,0.33,86063.608,5925557942580,2238581781843,1868.07,0,21728.66,11831,11998,8164139724423,8.164139724423,97.38,99.74,0.18,99.29,65892540229405,9413138380817,17965.74,2435.26,214.53,16,105411.55,38050.84,6.7,15365,15663,75305678610222,75.305678610222,3,"rgb(254, 231, 197)"
CCREGION_38,5.04,Nikesh,95.96,99.85,0.11,0.22,101997.457,8383263202042,2712546365565,1402.17,11.03,21083.46,11686,11872,11095809567607,11.095809567607,95.76,99.65,0.24,99.71,87424113635368,11885110452616,14525.74,2415.81,221.74,16,81100.56,37364.8,8.43,13932,14252,99309224087984,99.309224087984,2,"rgb(254, 223, 180)"
CCREGION_41,9.47,Gibson,92.57,99.76,0.27,1.06,168073.7375,11148622217457,3443343195700,1707.81,5.26,40673.19,19153,19768,14591965413157,14.591965413157,93.91,99.49,0.45,99.21,195168725068263,21066611084146,18913.27,2261.65,88,0,150103.67,31872.34,5.96,29164,29922,216235336152409,216.235336152409,1,"rgb(253, 197, 133)"
CCREGION_06,5.34,Warren,77.27,98.02,0.73,2.04,10103.302,1035063011962,250225836057,1279.87,9.43,13339.08,2387,2541,1285288848019,1.285288848019,77.7,99.43,0.57,99.12,19906018803363,2079510091659,16350.14,2374.38,320,10.67,109972.67,22021.17,5.93,2817,2940,21985528895022,21.985528895022,0,"rgb(179, 0, 0)"
CCREGION_39,3.79,Gibson,84,97.94,0.29,1.4,12472.2955,1097471755858,352623032776,1372.85,12.06,16737.86,1636,1757,1450094788634,1.450094788634,86.8,99.28,0.71,99.53,17016625708101,1930254307012,18695.2,2001.46,455.11,5.33,128525.15,15937.93,8.46,2113,2233,18946880015113,18.946880015113,0,"rgb(234, 92, 61)"
CCREGION_40,5.65,Gibson,87.96,98.25,0.34,1.43,4997.5605,438561206365,105276433379,1384.79,14.55,6604.82,1012,1071,543837639744,0.543837639744,89.01,99.39,0.81,99.88,7749915185369,899539324362,18636.68,2214.44,201.71,0,108645.62,19406.9,5.53,1072,1134,8649454509731,8.649454509731,0,"rgb(252, 142, 90)"
CCREGION_35,7.59,Nikesh,98.44,99.67,0.54,0.45,28820.7593,2523740994000,532027843000,2306.52,22.46,15364.78,4025,4046,3055768837000,3.055768837,97.84,99.31,0.16,99.96,30658040165250,3623944932750,19635.2,1708.21,598.96,7.57,87170.36,35431.2,8.62,3477,3500,34281985098000,34.281985098,3,"rgb(254, 240, 217)"
CCREGION_27,5.98,Nikesh,97.19,99.67,0.87,0.69,15163.3342,2114550671193,425462019362,2239.37,37.43,14675.32,3224,3626,2540012690555,2.540012690555,95.95,99.3,0.34,99.93,17095345230188,2060197393078,15863.31,1160.15,0,14.34,82826.05,19772.26,6.59,2374,2421,19155542623266,19.155542623266,3,"rgb(254, 231, 198)"
CCREGION_08,4.11,Gibson,89.92,99.38,0.49,1.92,12555.9236,1406712050778,340597792236,1910.5,4.98,29339.6,3023,3840,1747309843014,1.747309843014,90.81,99.46,0.43,97.04,20485858188379,2170525594972,20949.9,2025.57,364.07,0,143479.34,33036.49,4.31,4400,4534,22656383783351,22.656383783351,0,"rgb(252, 166, 108)"
CCREGION_11,6.57,Warren,94.48,99.59,0.12,0.57,138841.1105,8709065231484,3294830085593,1660.06,14.99,24113.54,15079,15506,12003895317077,12.003895317077,94.95,99.7,0.22,99.44,137186244821262,15912441176181,18105.85,2481.57,305.37,16,127148.38,36974.8,6.36,24007,24538,153098685997443,153.098685997443,1,"rgb(253, 213, 158)"
CCREGION_09,7.75,Warren,96.28,99.75,0.13,0.58,172443.9605,10810793131032,3351237454470,2331.91,0,77676.83,26859,27889,14162030585502,14.162030585502,96.34,99.73,0.17,99.26,172682984590226,21081536503611,21831.63,2575.67,170.67,0,155742.15,37219.87,5.22,38754,39722,193764521093837,193.764521093837,2,"rgb(254, 225, 185)"
CCREGION_13,10.73,Warren,90.16,99.68,0.28,1.1,140496.4265,10166347146701,2723549147311,1983.7,0.1,32033.93,22927,24122,12889896294012,12.889896294012,91.03,99.6,0.43,98.95,262690191273480,27657296315053,17428.75,2681.1,103.25,0,158753.77,39366.06,6.51,33638,34852,290347487588533,290.347487588533,0,"rgb(252, 168, 110)"
CCREGION_12,7.48,Gibson,93.54,99.19,0.17,1.16,99928.5,7950739913602,2617567211635,1432.13,0,17532.86,14719,15975,10568307125237,10.568307125237,94.53,99.64,0.25,99.57,172579432987307,18732773512508,17574.85,2630.87,132.78,0,123788.05,36091.31,7.13,21785,22439,191312206499815,191.312206499815,1,"rgb(253, 207, 144)"
CCREGION_25,6.55,Warren,95.46,99.69,0.09,0.46,188932.8685,12703257705774,4317318073454,1980.4,0,34847.8,26397,27307,17020575779228,17.020575779228,95.64,99.64,0.21,99.66,181995704544729,23724232103314,18324.29,2369.95,334.32,0,144624.7,33841.12,6.17,40121,40803,205719936648043,205.719936648043,2,"rgb(253, 220, 173)"
CCREGION_42,4.08,Gibson,91.74,99.5,0.29,1.28,103230.0235,4772890382641,1429134716796,1400.3,0,21853.33,14335,14595,6202025099437,6.202025099437,92.52,99.38,0.48,99.31,103188994811077,11165295587802,16434.28,2271.9,181.87,0.59,147289.12,31031.39,5.94,16951,17426,114354290398879,114.354290398879,1,"rgb(253, 187, 125)"
CCREGION_07,4.83,Warren,91.06,99.74,0.22,1.34,24805.194,1883163207843,506025888925,1613.51,0.7,111463.39,2678,2807,2389189096768,2.389189096768,91.42,99.5,1.04,97.52,30812881152585,3419409389442,14688.63,2387.89,0,16,150202.19,19142.99,8.8,3046,3192,34232290542027,34.232290542027,0,"rgb(253, 179, 119)"
CCREGION_14,5.62,Warren,92.25,99.6,0.25,1.57,30267.4845,3086571140593,722204056692,1394.83,0,36125.34,9784,10024,3808775197285,3.808775197285,92.45,99.53,0.57,98.89,80960612546348,8153437701623,18150.74,2402.85,265.21,0,138941.52,32772.26,4.76,12347,12765,89114050247971,89.114050247971,1,"rgb(253, 193, 130)"
CCREGION_28,6.31,Nikesh,96.71,99.87,0.1,0.41,96794.9957,7594858443908,2547637561730,1604.41,7.91,19423.41,13128,13251,10142496005638,10.142496005638,95.97,99.6,0.22,99.61,94217673277092,11493575131211,14991.38,2305.95,0,16,89267.69,25343.86,8.06,13503,13645,105711248408303,105.711248408303,3,"rgb(254, 228, 191)"
CCREGION_24,7.49,Warren,94.88,99.72,0.25,0.78,160750.8358,12434917757526,3849231005795,1492.42,0,29705.4,29205,30849,16284148763321,16.284148763321,95.38,99.6,0.47,99.53,219529826280371,24890201138821,18128.16,2341.07,0,0,143551.53,47116.21,5.06,45414,46211,244420027419192,244.420027419192,1,"rgb(253, 216, 164)"
CCREGION_10,6.98,Gibson,94.98,99.56,0.21,0.56,147281.8285,8657183231760,3376329619695,1636.17,0,36028.57,23032,23523,12033512851455,12.033512851455,95.19,99.67,0.19,99.41,116605761531718,15645631710048,19785.64,2412.76,0,0,159925.22,30902.32,5.93,30567,30956,132251393241766,132.251393241766,1,"rgb(253, 216, 165)"
CCREGION_34,7.07,Nikesh,96.13,99.42,0.92,0.93,33520.7589,3940801555058,812276106285,2096.55,0.15,17330.6,6578,8113,4753077661343,4.753077661343,94.99,99.33,0.31,99.92,34203382556039,4100056560643,19275.69,1270.85,71.43,6.59,109603.13,23856.94,5.59,5968,6193,38303439116682,38.303439116682,2,"rgb(254, 224, 183)"